"","x"
"GSM2325238","NonCanonical"
"GSM2325239","Atypical"
"GSM2325240","Canonical"
"GSM2325241","Atypical"
"GSM2325242","Atypical"
"GSM2325243","Canonical"
"GSM2325244","Atypical"
"GSM2325245","Atypical"
"GSM2325246","Atypical"
"GSM2325247","Atypical"
"GSM2325248","Canonical"
"GSM2325249","Canonical"
"GSM2325250","Canonical"
"GSM2325251","Atypical"
"GSM2325252","Atypical"
"GSM2325253","Atypical"
"GSM2325254","NonCanonical"
"GSM2325255","Atypical"
"GSM2325256","Canonical"
"GSM2325257","Atypical"
"GSM2325258","Atypical"
"GSM2325259","Canonical"
"GSM2325260","Canonical"
"GSM2325261","Canonical"
"GSM2325262","Canonical"
"GSM2325263","Atypical"
"GSM2325264","Atypical"
"GSM2325265","Atypical"
"GSM2325266","Canonical"
"GSM2325267","Canonical"
"GSM2325268","NonCanonical"
"GSM2325269","Atypical"
"GSM2325270","Atypical"
"GSM2325271","Canonical"
"GSM2325272","Atypical"
"GSM2325273","Atypical"
"GSM2325274","Atypical"
"GSM2325275","Atypical"
"GSM2325276","Canonical"
"GSM2325277","Canonical"
"GSM2325278","Canonical"
"GSM2325279","Canonical"
"GSM2325280","NonCanonical"
"GSM2325281","Atypical"
"GSM2325282","Atypical"
"GSM2325283","Atypical"
"GSM2325284","Atypical"
"GSM2325285","NonCanonical"
"GSM2325286","NonCanonical"
"GSM2325287","Atypical"
"GSM2325288","Atypical"
"GSM2325289","Canonical"
"GSM2325290","Canonical"
"GSM2325291","Atypical"
"GSM2325292","Atypical"
"GSM2325293","Atypical"
"GSM2325294","Atypical"
"GSM2325295","Atypical"
"GSM2325296","Atypical"
"GSM2325297","Canonical"
"GSM2325298","Canonical"
"GSM2325299","Atypical"
"GSM2325300","Canonical"
"GSM2325301","Canonical"
"GSM2325302","Atypical"
"GSM2325303","Atypical"
"GSM2325304","Atypical"
"GSM2325305","Atypical"
"GSM2325306","Atypical"
"GSM2325307","Atypical"
"GSM2325308","Canonical"
"GSM2325309","Canonical"
"GSM2325310","NonCanonical"
"GSM2325311","Atypical"
"GSM2325312","Atypical"
"GSM2325313","Atypical"
"GSM2325314","Canonical"
"GSM2325315","Canonical"
"GSM2325316","Atypical"
"GSM2325317","Atypical"
"GSM2325318","Atypical"
"GSM2325319","Atypical"
"GSM2325320","Canonical"
"GSM2325321","Atypical"
"GSM2325322","Canonical"
"GSM2325323","Canonical"
"GSM2325324","Atypical"
"GSM2325325","Atypical"
"GSM2325326","Atypical"
"GSM2325327","Atypical"
"GSM2325328","Canonical"
"GSM2325329","Atypical"
"GSM2325330","Atypical"
"GSM2325331","NonCanonical"
"GSM2325332","Atypical"
"GSM2325333","Atypical"
"GSM2325334","Atypical"
"GSM2325335","Atypical"
"GSM2325336","Atypical"
"GSM2325337","Canonical"
"GSM2325338","NonCanonical"
"GSM2325339","Canonical"
"GSM2325340","Atypical"
"GSM2325341","Canonical"
"GSM2325342","NonCanonical"
"GSM2325343","Atypical"
"GSM2325344","Atypical"
"GSM2325345","Atypical"
"GSM2325346","Atypical"
"GSM2325347","Atypical"
"GSM2325348","Atypical"
"GSM2325349","Atypical"
"GSM2325350","Canonical"
"GSM2325351","Atypical"
"GSM2325352","Atypical"
"GSM2325353","Canonical"
"GSM2325354","Canonical"
"GSM2325355","Atypical"
"GSM2325356","NonCanonical"
"GSM2325357","Atypical"
"GSM2325358","Canonical"
"GSM2325359","Canonical"
"GSM2325360","Atypical"
"GSM2325361","Atypical"
"GSM2325362","Atypical"
"GSM2325363","Atypical"
"GSM2325364","Atypical"
"GSM2325365","Atypical"
"GSM2325366","Atypical"
"GSM2325367","NonCanonical"
"GSM2325368","Canonical"
"GSM2325369","Canonical"
"GSM2325370","NonCanonical"
"GSM2325371","Atypical"
"GSM2325372","Canonical"
"GSM2325373","Atypical"
"GSM2325374","Atypical"
"GSM2325375","Atypical"
"GSM2325376","Atypical"
"GSM2325377","Atypical"
"GSM2325378","NonCanonical"
"GSM2325379","NonCanonical"
"GSM2325380","Atypical"
"GSM2325381","NonCanonical"
"GSM2325382","NonCanonical"
"GSM2325383","Atypical"
"GSM2325384","Atypical"
"GSM2325385","Atypical"
"GSM2325386","Atypical"
"GSM2325387","Canonical"
"GSM2325388","Atypical"
"GSM2325389","NonCanonical"
"GSM2325390","Atypical"
"GSM2325391","Atypical"
"GSM2325392","Atypical"
"GSM2325393","NonCanonical"
"GSM2325394","NonCanonical"
"GSM2325395","NonCanonical"
"GSM2325396","Atypical"
"GSM2325397","Canonical"
"GSM2325398","Atypical"
"GSM2325399","Canonical"
"GSM2325400","Canonical"
"GSM2325401","Atypical"
"GSM2325402","Atypical"
"GSM2325403","NonCanonical"
"GSM2325404","Canonical"
"GSM2325405","Atypical"
"GSM2325406","Atypical"
"GSM2325407","NonCanonical"
"GSM2325408","Atypical"
"GSM2325409","Atypical"
"GSM2325410","Atypical"
"GSM2325411","Atypical"
"GSM2325412","NonCanonical"
"GSM2325413","Canonical"
"GSM2325414","Atypical"
"GSM2325415","Atypical"
"GSM2325416","Canonical"
"GSM2325417","Atypical"
"GSM2325418","Canonical"
"GSM2325419","Atypical"
"GSM2325420","Atypical"
"GSM2325421","Atypical"
"GSM2325422","Canonical"
"GSM2325423","Atypical"
"GSM2325424","Atypical"
"GSM2325425","Atypical"
"GSM2325426","Canonical"
"GSM2325427","Atypical"
"GSM2325428","Atypical"
"GSM2325429","Atypical"
"GSM2325430","Atypical"
"GSM2325431","Atypical"
"GSM2325432","NonCanonical"
"GSM2325433","Canonical"
"GSM2325434","NonCanonical"
"GSM2325435","Canonical"
"GSM2325436","NonCanonical"
"GSM2325437","Atypical"
"GSM2325438","Atypical"
"GSM2325439","Atypical"
"GSM2325440","NonCanonical"
"GSM2325441","Canonical"
"GSM2325442","Canonical"
"GSM2325443","Canonical"
"GSM2325444","Atypical"
"GSM2325445","Atypical"
"GSM2325446","Atypical"
"GSM2325447","Atypical"
"GSM2325448","Canonical"
"GSM2325449","Canonical"
"GSM2325450","Canonical"
"GSM2325451","Canonical"
"GSM2325452","Atypical"
"GSM2325453","Atypical"
"GSM2325454","Atypical"
"GSM2325455","Atypical"
"GSM2325456","Canonical"
"GSM2325457","Canonical"
"GSM2325458","Atypical"
"GSM2325459","Atypical"
"GSM2325460","Canonical"
"GSM2325461","Canonical"
"GSM2325462","Canonical"
"GSM2325463","Atypical"
"GSM2325464","Canonical"
"GSM2325465","NonCanonical"
"GSM2325466","Atypical"
"GSM2325467","NonCanonical"
"GSM2325468","Atypical"
"GSM2325469","Atypical"
"GSM2325470","Atypical"
"GSM2325471","Canonical"
"GSM2325472","Atypical"
"GSM2325473","Atypical"
"GSM2325474","Canonical"
"GSM2325475","Canonical"
"GSM2325476","Canonical"
"GSM2325477","Atypical"
"GSM2325478","NonCanonical"
